epoch,accuracy,loss,val_accuracy,val_loss
0,0.17000000178813934,2.263368606567383,0.38999998569488525,2.0892112255096436
1,0.29249998927116394,2.063168525695801,0.5799999833106995,1.6032823324203491
2,0.3100000023841858,1.8733657598495483,0.699999988079071,1.3634285926818848
3,0.35749998688697815,1.758375644683838,0.8500000238418579,1.0658842325210571
4,0.47999998927116394,1.5082941055297852,0.8500000238418579,0.6962748765945435
5,0.5724999904632568,1.3142709732055664,0.9399999976158142,0.6464350819587708
6,0.550000011920929,1.289055585861206,0.8199999928474426,0.6636704206466675
7,0.6274999976158142,1.0833063125610352,0.9300000071525574,0.40889662504196167
8,0.6850000023841858,0.9796150326728821,0.9399999976158142,0.3697487711906433
9,0.6850000023841858,0.9331920146942139,0.949999988079071,0.3062116503715515
10,0.6949999928474426,0.9257082939147949,0.9300000071525574,0.2805132567882538
11,0.6924999952316284,0.9511842131614685,0.949999988079071,0.2569456398487091
12,0.7450000047683716,0.8078698515892029,0.949999988079071,0.24096357822418213
13,0.7799999713897705,0.7059901356697083,0.9399999976158142,0.18324416875839233
14,0.7850000262260437,0.6302015781402588,0.949999988079071,0.16457746922969818
15,0.7599999904632568,0.6766953468322754,0.949999988079071,0.19745944440364838
16,0.7774999737739563,0.6633020043373108,0.9599999785423279,0.1578705757856369
17,0.800000011920929,0.6541510224342346,0.9599999785423279,0.17005224525928497
18,0.8600000143051147,0.5079958438873291,0.9599999785423279,0.15341398119926453
19,0.8274999856948853,0.5412287712097168,0.9700000286102295,0.1237182542681694
20,0.8675000071525574,0.5037595629692078,0.9599999785423279,0.1448657065629959
21,0.8399999737739563,0.5036308169364929,0.9599999785423279,0.1695234477519989
22,0.8399999737739563,0.495147705078125,0.949999988079071,0.15013472735881805
23,0.8224999904632568,0.5459497570991516,0.9700000286102295,0.10965452343225479
24,0.8500000238418579,0.509425699710846,0.949999988079071,0.18292981386184692
25,0.8349999785423279,0.5267516374588013,0.9599999785423279,0.14215579628944397
26,0.8550000190734863,0.5097296833992004,0.9700000286102295,0.15629951655864716
27,0.9075000286102295,0.37130701541900635,0.9700000286102295,0.11550344526767731
28,0.8700000047683716,0.4284486472606659,0.9700000286102295,0.16189154982566833
29,0.8550000190734863,0.39682474732398987,0.9900000095367432,0.09467443823814392
30,0.887499988079071,0.36072441935539246,0.9900000095367432,0.11577105522155762
31,0.8824999928474426,0.4450141191482544,0.9800000190734863,0.10115422308444977
32,0.8849999904632568,0.4251353442668915,0.9399999976158142,0.1398317813873291
33,0.9175000190734863,0.3556296229362488,0.9800000190734863,0.10019624978303909
34,0.9075000286102295,0.3395644724369049,0.9900000095367432,0.08009124547243118
35,0.8675000071525574,0.4605270326137543,0.9900000095367432,0.09616086632013321
36,0.8700000047683716,0.4252045154571533,0.9800000190734863,0.11079084128141403
37,0.8999999761581421,0.4112456142902374,0.9800000190734863,0.08936513960361481
38,0.9175000190734863,0.31306397914886475,0.9800000190734863,0.10094499588012695
39,0.8974999785423279,0.34157007932662964,0.9800000190734863,0.08979171514511108
40,0.9225000143051147,0.352327436208725,0.9599999785423279,0.1363593190908432
41,0.9024999737739563,0.38528287410736084,0.9800000190734863,0.09131225943565369
42,0.9200000166893005,0.31252995133399963,0.9800000190734863,0.1159382089972496
43,0.9225000143051147,0.320436030626297,0.9900000095367432,0.10109243541955948
44,0.9075000286102295,0.34703299403190613,0.9800000190734863,0.09545525908470154
45,0.8899999856948853,0.36454764008522034,0.9800000190734863,0.09539739787578583
46,0.9275000095367432,0.2969968616962433,0.9900000095367432,0.08596538752317429
47,0.9024999737739563,0.32673195004463196,0.9700000286102295,0.10532736033201218
48,0.9424999952316284,0.26845261454582214,0.9800000190734863,0.09033063799142838
49,0.9350000023841858,0.2727805972099304,0.9900000095367432,0.1142287328839302
